,discrate,year,rcp,damages,pulse,variable
2419,5.0,2080.0,rcp85,0.01343737672421826,pulse,ce_betas_SSP3
2420,5.0,2081.0,rcp45,0.00857946347630168,pulse,ce_betas_SSP3
2421,5.0,2081.0,rcp85,0.013383986149253601,pulse,ce_betas_SSP3
2422,5.0,2082.0,rcp45,0.00826363960978699,pulse,ce_betas_SSP3
2423,5.0,2082.0,rcp85,0.013068036720176184,pulse,ce_betas_SSP3
2424,5.0,2083.0,rcp45,0.007832321497157969,pulse,ce_betas_SSP3
2425,5.0,2083.0,rcp85,0.012732581362134426,pulse,ce_betas_SSP3
2426,5.0,2084.0,rcp45,0.007608567848867483,pulse,ce_betas_SSP3
2427,5.0,2084.0,rcp85,0.012443296396512097,pulse,ce_betas_SSP3
2428,5.0,2085.0,rcp45,0.007325689094565645,pulse,ce_betas_SSP3
2429,5.0,2085.0,rcp85,0.012049331987006905,pulse,ce_betas_SSP3
2430,5.0,2086.0,rcp45,0.006970932718409345,pulse,ce_betas_SSP3
2431,5.0,2086.0,rcp85,0.011626331273669218,pulse,ce_betas_SSP3
2432,5.0,2087.0,rcp45,0.006688564916860156,pulse,ce_betas_SSP3
2433,5.0,2087.0,rcp85,0.011355988772866225,pulse,ce_betas_SSP3
2434,5.0,2088.0,rcp45,0.0064924301793024865,pulse,ce_betas_SSP3
2435,5.0,2088.0,rcp85,0.011064601463581349,pulse,ce_betas_SSP3
2436,5.0,2089.0,rcp45,0.006246169448905846,pulse,ce_betas_SSP3
2437,5.0,2089.0,rcp85,0.01073459122641192,pulse,ce_betas_SSP3
2438,5.0,2090.0,rcp45,0.006070217391363857,pulse,ce_betas_SSP3
2439,5.0,2090.0,rcp85,0.010550865005965995,pulse,ce_betas_SSP3
2440,5.0,2091.0,rcp45,0.005868386659321976,pulse,ce_betas_SSP3
2441,5.0,2091.0,rcp85,0.010320745342204113,pulse,ce_betas_SSP3
2442,5.0,2092.0,rcp45,0.005688127799621243,pulse,ce_betas_SSP3
2443,5.0,2092.0,rcp85,0.010014753630476369,pulse,ce_betas_SSP3
2444,5.0,2093.0,rcp45,0.005476632997806913,pulse,ce_betas_SSP3
2445,5.0,2093.0,rcp85,0.009802217962012909,pulse,ce_betas_SSP3
2446,5.0,2094.0,rcp45,0.005287356545246477,pulse,ce_betas_SSP3
2447,5.0,2094.0,rcp85,0.009516927583642556,pulse,ce_betas_SSP3
2448,5.0,2095.0,rcp45,0.005069346064138358,pulse,ce_betas_SSP3
2449,5.0,2095.0,rcp85,0.009163573518646207,pulse,ce_betas_SSP3
2450,5.0,2096.0,rcp45,0.00492280880223631,pulse,ce_betas_SSP3
2451,5.0,2096.0,rcp85,0.008870898839759877,pulse,ce_betas_SSP3
2452,5.0,2097.0,rcp45,0.0047460430127235645,pulse,ce_betas_SSP3
2453,5.0,2097.0,rcp85,0.008635984897439056,pulse,ce_betas_SSP3
2454,5.0,2098.0,rcp45,0.0045522055795943275,pulse,ce_betas_SSP3
2455,5.0,2098.0,rcp85,0.008268990580459164,pulse,ce_betas_SSP3
2456,5.0,2099.0,rcp45,0.004366458588502415,pulse,ce_betas_SSP3
2457,5.0,2099.0,rcp85,0.007983994709122706,pulse,ce_betas_SSP3
2458,5.0,2100.0,rcp45,0.0042169741746114695,pulse,ce_betas_SSP3
2459,5.0,2100.0,rcp85,0.00773134727248793,pulse,ce_betas_SSP3
2460,5.0,2101.0,rcp45,0.004080661187664751,pulse,ce_betas_SSP3
2461,5.0,2101.0,rcp85,0.007491575633277425,pulse,ce_betas_SSP3
2462,5.0,2102.0,rcp45,0.003945322939078092,pulse,ce_betas_SSP3
2463,5.0,2102.0,rcp85,0.007254987712854572,pulse,ce_betas_SSP3
2464,5.0,2103.0,rcp45,0.0038118781503723225,pulse,ce_betas_SSP3
2465,5.0,2103.0,rcp85,0.0070224362154208955,pulse,ce_betas_SSP3
2466,5.0,2104.0,rcp45,0.00367803842307739,pulse,ce_betas_SSP3
2467,5.0,2104.0,rcp85,0.006792218316178123,pulse,ce_betas_SSP3
2468,5.0,2105.0,rcp45,0.003542112165899874,pulse,ce_betas_SSP3
2469,5.0,2105.0,rcp85,0.0065631140816491225,pulse,ce_betas_SSP3
2470,5.0,2106.0,rcp45,0.0034088640788440118,pulse,ce_betas_SSP3
2471,5.0,2106.0,rcp85,0.006338978058534989,pulse,ce_betas_SSP3
2472,5.0,2107.0,rcp45,0.003279467583785334,pulse,ce_betas_SSP3
2473,5.0,2107.0,rcp85,0.006120780772469281,pulse,ce_betas_SSP3
2474,5.0,2108.0,rcp45,0.0031564599730415526,pulse,ce_betas_SSP3
2475,5.0,2108.0,rcp85,0.0059105247518599175,pulse,ce_betas_SSP3
2476,5.0,2109.0,rcp45,0.003040994989067085,pulse,ce_betas_SSP3
2477,5.0,2109.0,rcp85,0.005709090752954087,pulse,ce_betas_SSP3
2478,5.0,2110.0,rcp45,0.0029353738237206366,pulse,ce_betas_SSP3
2479,5.0,2110.0,rcp85,0.005518214551958684,pulse,ce_betas_SSP3
2480,5.0,2111.0,rcp45,0.002842811250412437,pulse,ce_betas_SSP3
2481,5.0,2111.0,rcp85,0.005340282500000008,pulse,ce_betas_SSP3
2482,5.0,2112.0,rcp45,0.0027504933427002936,pulse,ce_betas_SSP3
2483,5.0,2112.0,rcp85,0.005165351266407098,pulse,ce_betas_SSP3
2484,5.0,2113.0,rcp45,0.00265931729798729,pulse,ce_betas_SSP3
2485,5.0,2113.0,rcp85,0.004994098924103407,pulse,ce_betas_SSP3
2486,5.0,2114.0,rcp45,0.002564126871572202,pulse,ce_betas_SSP3
2487,5.0,2114.0,rcp85,0.004822591234953453,pulse,ce_betas_SSP3
2488,5.0,2115.0,rcp45,0.0024706318502484654,pulse,ce_betas_SSP3
2489,5.0,2115.0,rcp85,0.004655182859533544,pulse,ce_betas_SSP3
2490,5.0,2116.0,rcp45,0.002376576586001533,pulse,ce_betas_SSP3
2491,5.0,2116.0,rcp85,0.004490149117126681,pulse,ce_betas_SSP3
2492,5.0,2117.0,rcp45,0.002285107151896516,pulse,ce_betas_SSP3
2493,5.0,2117.0,rcp85,0.004329845553499446,pulse,ce_betas_SSP3
2494,5.0,2118.0,rcp45,0.0021970632564408013,pulse,ce_betas_SSP3
2495,5.0,2118.0,rcp85,0.004174858942152331,pulse,ce_betas_SSP3
2496,5.0,2119.0,rcp45,0.0021135715457654023,pulse,ce_betas_SSP3
2497,5.0,2119.0,rcp85,0.004025973227600261,pulse,ce_betas_SSP3
2498,5.0,2120.0,rcp45,0.002037328536729144,pulse,ce_betas_SSP3
2499,5.0,2120.0,rcp85,0.0038851191916379675,pulse,ce_betas_SSP3
2500,5.0,2121.0,rcp45,0.001968554088166063,pulse,ce_betas_SSP3
2501,5.0,2121.0,rcp85,0.0037523477984511625,pulse,ce_betas_SSP3
2502,5.0,2122.0,rcp45,0.0019057838607010444,pulse,ce_betas_SSP3
2503,5.0,2122.0,rcp85,0.0036264699289991205,pulse,ce_betas_SSP3
2504,5.0,2123.0,rcp45,0.0018401078090256498,pulse,ce_betas_SSP3
2505,5.0,2123.0,rcp85,0.003500862342485376,pulse,ce_betas_SSP3
2506,5.0,2124.0,rcp45,0.0017764657945422175,pulse,ce_betas_SSP3
2507,5.0,2124.0,rcp85,0.003379117902023,pulse,ce_betas_SSP3
2508,5.0,2125.0,rcp45,0.0017105736966799125,pulse,ce_betas_SSP3
2509,5.0,2125.0,rcp85,0.0032580710367253536,pulse,ce_betas_SSP3
2510,5.0,2126.0,rcp45,0.0016442001472365274,pulse,ce_betas_SSP3
2511,5.0,2126.0,rcp85,0.0031389873346195506,pulse,ce_betas_SSP3
2512,5.0,2127.0,rcp45,0.0015798479430185807,pulse,ce_betas_SSP3
2513,5.0,2127.0,rcp85,0.0030236407525240823,pulse,ce_betas_SSP3
2514,5.0,2128.0,rcp45,0.0015177918959471003,pulse,ce_betas_SSP3
2515,5.0,2128.0,rcp85,0.002912174982521117,pulse,ce_betas_SSP3
2516,5.0,2129.0,rcp45,0.0014594160128268562,pulse,ce_betas_SSP3
2517,5.0,2129.0,rcp85,0.002805521550905057,pulse,ce_betas_SSP3
2518,5.0,2130.0,rcp45,0.0014061257569305795,pulse,ce_betas_SSP3
2519,5.0,2130.0,rcp85,0.002704608039117856,pulse,ce_betas_SSP3
2520,5.0,2131.0,rcp45,0.0013602354468773465,pulse,ce_betas_SSP3
2521,5.0,2131.0,rcp85,0.002610986702849305,pulse,ce_betas_SSP3
2522,5.0,2132.0,rcp45,0.0013153556731269524,pulse,ce_betas_SSP3
2523,5.0,2132.0,rcp85,0.002520041871898624,pulse,ce_betas_SSP3
2524,5.0,2133.0,rcp45,0.0012717770776066474,pulse,ce_betas_SSP3
2525,5.0,2133.0,rcp85,0.0024319276298074306,pulse,ce_betas_SSP3
2526,5.0,2134.0,rcp45,0.0012269024300300257,pulse,ce_betas_SSP3
2527,5.0,2134.0,rcp85,0.0023447776793329386,pulse,ce_betas_SSP3
2528,5.0,2135.0,rcp45,0.0011808321613454124,pulse,ce_betas_SSP3
2529,5.0,2135.0,rcp85,0.002258636494331224,pulse,ce_betas_SSP3
2530,5.0,2136.0,rcp45,0.001134033000002578,pulse,ce_betas_SSP3
2531,5.0,2136.0,rcp85,0.002173803331679008,pulse,ce_betas_SSP3
2532,5.0,2137.0,rcp45,0.001089063073943241,pulse,ce_betas_SSP3
2533,5.0,2137.0,rcp85,0.002092015638020605,pulse,ce_betas_SSP3
2534,5.0,2138.0,rcp45,0.0010458557625948378,pulse,ce_betas_SSP3
2535,5.0,2138.0,rcp85,0.0020131754492866806,pulse,ce_betas_SSP3
2536,5.0,2139.0,rcp45,0.0010047196490479712,pulse,ce_betas_SSP3
