temp,risk,bins,poly_2,poly_3,poly_4,spline
-5.3000002,low,5.2754641,-7.22998,-8.8396721,-12.171441,-1.6148989
-5.1999998,high,34.805908,-89.98558,36.679565,16.580378,-23.389288
-5.1999998,low,5.2754641,-7.1693249,-8.7288418,-11.969366,-1.6098992
-5.0999999,high,34.805908,-89.364571,35.76709,16.452377,-23.316652
-5.0999999,low,5.2754641,-7.1089082,-8.6187544,-11.769361,-1.6048995
-5,high,34.805908,-88.745689,34.863445,16.321589,-23.244015
-5,low,5.2754641,-7.0487289,-8.509407,-11.571415,-1.5998998
-4.9000001,high,34.805908,-88.128929,33.968594,16.188072,-23.171377
-4.9000001,low,5.2754641,-6.9887877,-8.4007969,-11.375512,-1.5949001
-4.8000002,high,34.805908,-87.514305,33.082508,16.051886,-23.09874
-4.8000002,low,5.2754641,-6.9290838,-8.292923,-11.181641,-1.5899005
-4.6999998,high,34.805908,-86.901802,32.205139,15.913082,-23.026102
-4.6999998,low,5.2754641,-6.8696175,-8.1857815,-10.989785,-1.5849007
-4.5999999,high,34.805908,-86.291435,31.336462,15.771722,-22.953465
-4.5999999,low,5.2754641,-6.810389,-8.0793715,-10.799935,-1.5799011
-4.5,high,34.805908,-85.683197,30.476439,15.62786,-22.880827
-4.5,low,5.2754641,-6.7513986,-7.9736915,-10.612078,-1.5749013
-4.4000001,high,34.805908,-85.07708,29.625029,15.481554,-22.808189
-4.4000001,low,5.2754641,-6.692646,-7.8687382,-10.426199,-1.5699017
-4.3000002,high,34.805908,-84.473091,28.7822,15.332858,-22.735552
-4.3000002,low,5.2754641,-6.6341305,-7.7645102,-10.242286,-1.5649021
-4.1999998,high,34.805908,-83.871231,27.94791,15.181827,-22.662914
-4.1999998,low,5.2754641,-6.5758529,-7.661005,-10.060324,-1.5599023
-4.0999999,high,34.805908,-83.271507,27.122131,15.028517,-22.590277
-4.0999999,low,5.2754641,-6.5178132,-7.5582209,-9.8803034,-1.5549027
-4,high,34.805908,-82.673904,26.304823,14.872983,-22.517639
-4,low,5.2754641,-6.460011,-7.4561558,-9.7022104,-1.5499029
-3.9000001,high,34.805908,-82.07843,25.495951,14.715279,-22.445002
-3.9000001,low,5.2754641,-6.4024467,-7.3548074,-9.5260324,-1.5449033
-3.8,high,34.805908,-81.485085,24.695475,14.555458,-22.372364
-3.8,low,5.2754641,-6.34512,-7.2541733,-9.3517561,-1.5399035
-3.7,high,34.805908,-80.893867,23.903362,14.393575,-22.299726
-3.7,low,5.2754641,-6.2880311,-7.1542525,-9.179369,-1.5349039
-3.5999999,high,34.805908,-80.304771,23.119576,14.229682,-22.227089
-3.5999999,low,5.2754641,-6.2311797,-7.0550413,-9.0088577,-1.5299042
-3.5,high,34.805908,-79.717812,22.34408,14.063833,-22.154451
-3.5,low,5.2754641,-6.1745663,-6.9565392,-8.8402119,-1.5249045
-3.4000001,high,34.805908,-79.13298,21.576839,13.896082,-22.081814
-3.4000001,low,5.2754641,-6.1181903,-6.8587437,-8.6734171,-1.5199049
-3.3,high,34.805908,-78.55027,20.817814,13.726478,-22.009176
-3.3,low,5.2754641,-6.0620518,-6.7616515,-8.508461,-1.5149051
-3.2,high,34.805908,-77.969696,20.066973,13.555075,-21.936539
-3.2,low,5.2754641,-6.0061517,-6.6652622,-8.3453321,-1.5099055
-3.0999999,high,34.805908,-77.391243,19.324274,13.381924,-21.863901
-3.0999999,low,5.2754641,-5.9504886,-6.5695724,-8.1840162,-1.5049057
-3,high,34.805908,-76.814926,18.589687,13.207076,-21.791264
-3,low,5.2754641,-5.8950639,-6.4745812,-8.0245037,-1.4999061
-2.9000001,high,34.805908,-76.24073,17.863174,13.030582,-21.718626
-2.9000001,low,5.2754641,-5.8398767,-6.3802857,-7.8667803,-1.4949064
-2.8,high,34.805908,-75.668663,17.144695,12.852494,-21.645988
-2.8,low,5.2754641,-5.7849269,-6.2866836,-7.710834,-1.4899067
-2.7,high,34.805908,-75.098732,16.434221,12.672862,-21.573351
-2.7,low,5.2754641,-5.7302151,-6.1937737,-7.556653,-1.484907
-2.5999999,high,34.805908,-74.530922,15.731709,12.491734,-21.500713
-2.5999999,low,5.2754641,-5.6757407,-6.101553,-7.4042249,-1.4799073
-2.5,high,34.805908,-73.96524,15.037127,12.30916,-21.428076
-2.5,low,5.2754641,-5.6215043,-6.0100203,-7.2535377,-1.4749076
-2.4000001,high,34.805908,-73.401688,14.350436,12.125192,-21.355438
-2.4000001,low,5.2754641,-5.5675054,-5.9191728,-7.104579,-1.469908
-2.3,high,34.805908,-72.840256,13.671601,11.939875,-21.282801
-2.3,low,5.2754641,-5.5137444,-5.8290086,-6.9573369,-1.4649082
-2.2,high,34.805908,-72.28096,13.000588,11.75326,-21.210163
-2.2,low,5.2754641,-5.4602208,-5.7395253,-6.8117995,-1.4599086
-2.0999999,high,34.805908,-71.723793,12.337358,11.565393,-21.137526
-2.0999999,low,5.2754641,-5.4069352,-5.6507215,-6.6679544,-1.4549088
-2,high,34.805908,-71.168755,11.681876,11.376326,-21.064888
-2,low,5.2754641,-5.3538871,-5.5625954,-6.5257902,-1.4499092
-1.9,high,34.805908,-70.615837,11.034105,11.186102,-20.99225
-1.9,low,5.2754641,-5.3010769,-5.4751434,-6.3852949,-1.4449096
-1.8,high,34.805908,-70.065056,10.39401,10.994771,-20.919613
-1.8,low,5.2754641,-5.2485042,-5.3883648,-6.2464561,-1.4399098
-1.7,high,34.805908,-69.516396,9.7615547,10.802379,-20.846975
-1.7,low,5.2754641,-5.1961694,-5.3022571,-6.1092629,-1.4349102
-1.6,high,34.805908,-68.969872,9.1367025,10.608973,-20.774338
-1.6,low,5.2754641,-5.1440721,-5.2168179,-5.9737029,-1.4299104
-1.5,high,34.805908,-68.425468,8.5194168,10.414597,-20.7017
