year,pctile,beta1,beta2
2051,.2,-.1186467,.1163173
2051,.25,-.0496604,.1087229
2051,.3,.0052118,.1070396
2051,.35,.0558807,.1068324
2051,.4,.1079131,.104213
2051,.45,.1869707,.0847842
2051,.5,.2337004,.0825619
2051,.55,.290503,.075798
2051,.6,.3410562,.0740407
2051,.65,.3898486,.0758762
2051,.7,.4476692,.0723978
2051,.75,.5037742,.0757044
2051,.8,.5739784,.0766554
2051,.85,.6700182,.0683268
2051,.9,.788352,.0604005
2051,.95,.975987,.0394151
2052,.05,-.4345673,.1253547
2052,.1,-.2806621,.1248749
2052,.15,-.1836469,.117764
2052,.2,-.1019876,.1082233
2052,.25,-.038424,.1034297
2052,.3,.0194393,.1006451
2052,.35,.0717944,.0986283
2052,.4,.132939,.0910715
2052,.45,.198753,.0803713
2052,.5,.2460193,.0774325
2052,.55,.2972252,.0753604
2052,.6,.3485568,.0738507
2052,.65,.3948627,.0770303
2052,.7,.4506676,.0743862
2052,.75,.5050701,.0784627
2052,.8,.5789444,.0769241
2052,.85,.6810554,.06631
2052,.9,.7958564,.0621226
2052,.95,.992218,.0364875
2053,.05,-.3534387,.0810666
2053,.1,-.2329979,.0993858
2053,.15,-.1526889,.1045219
2053,.2,-.0829169,.1021487
2053,.25,-.021726,.1001216
2053,.3,.0299794,.1024571
2053,.35,.0846239,.0987355
2053,.4,.1527982,.0874356
2053,.45,.2157934,.0774976
2053,.5,.2634107,.0755516
2053,.55,.3159025,.07424
2053,.6,.3620181,.0777305
2053,.65,.4136671,.0774755
2053,.7,.4611917,.0814399
2053,.75,.529382,.07759
2053,.8,.589669,.0864489
2053,.85,.6935247,.0739363
2053,.9,.794759,.0831118
2053,.95,1.024875,.0387103
2054,.05,-.3140374,.0643755
2054,.1,-.2141657,.0919766
2054,.15,-.1427425,.1029452
2054,.2,-.0825665,.1060896
2054,.25,-.0237296,.1074756
2054,.3,.0369114,.1025397
2054,.35,.0935807,.0974638
2054,.4,.1569256,.088724
2054,.45,.2152931,.081562
