temp,no_wgt_comm,no_wgt_low,no_wgt_ag,no_wgt_nonag,pop_wgt_comm,risk_wgt_sector_low,risk_wgt_sector_ag,risk_wgt_sector_nonag,frac_no_wgt_comm,frac_no_wgt_low,frac_no_wgt_ag,frac_no_wgt_nonag,frac_pop_wgt_comm,frac_risk_wgt_sector_low,frac_risk_wgt_sector_ag,frac_risk_wgt_sector_nonag
.3,47,37,0,10,.0001565751534103,.0002789785135064,0,.0000366759010149,7.12568942940e-06,8.86051820142e-06,0,4.90254236042e-06,.0001607162405659,.0004586990317048,0,.0001278852539377
.4,41,25,6,10,.0001227256127694,.0001035752098915,2.18343105818e-07,.0000934848087581,6.21602694905e-06,5.98683662258e-06,.000015778387291,4.90254236042e-06,.0001259714499768,.0001702993104691,3.92979902906e-06,.000325972319058
.5,81,52,4,25,.0002082743874183,.000298938335618,1.88054833927e-08,.0001071617045909,.0000122804434847,.000012452620175,.0000105189248607,.000012256355901,.0002137828117869,.0004915171543641,3.38466241473e-07,.0003736623075314
.6,50,37,0,13,.0001652127977872,.000268848173846,0,.0000589549065353,7.58052066958e-06,8.86051820142e-06,0,6.37330506854e-06,.0001695823326715,.000442042634283,0,.0002055699515081
.7,89,68,1,20,.0002365314685856,.0003511542587376,2.24163376750e-09,.0001273556825936,.0000134933267918,.0000162841956134,2.62973121517e-06,9.80508472083e-06,.0002427872339807,.0005773710542701,4.03455385963e-08,.0004440767195411
.8,70,58,1,11,.0001797438685963,.0003136417600444,3.96460109187e-09,.000038566991293,.0000106127289374,.0000138894609644,2.62973121517e-06,5.39279659646e-06,.0001844977200811,.000515692659719,7.13559764713e-08,.0001344792994485
.9,64,47,1,16,.0002260231716912,.0003513864730849,2.26548624305e-09,.0000996055241558,9.70306645706e-06,.0000112552528505,2.62973121517e-06,7.84406777667e-06,.0002320010144891,.0005777528632307,4.07748419852e-08,.0003473146507048
1,58,41,0,17,.0001819691686335,.0001700434283975,0,.0002077905514852,8.79340397671e-06,9.81841206103e-06,0,8.33432201271e-06,.000186781874676,.0002795869652231,0,.0007245451838192
1.1,42,24,2,16,.0000959337967434,.0001259140542516,4.20003676282e-09,.000066006054567,6.36763736245e-06,5.74736315768e-06,5.25946243034e-06,7.84406777667e-06,.0000984710461397,.0002070290433384,7.55934121699e-08,.000230156610094
1.2,72,48,2,22,.0002095871535336,.0002626939186712,6.06534511505e-09,.0001616110828309,.0000109159497642,.0000114947263154,5.25946243034e-06,.0000107855931929,.0002151302978356,.0004319237514556,1.09165742856e-07,.0005635219257081
