temp,ref,yhat_agri,se_agri,lowerci_agri,upperci_agri,yhat_high,se_high,lowerci_high,upperci_high
-1.4,27,-91.624313,45.38649,-180.5802,-2.6684289,-20.682396,20.123943,-60.124599,18.759808
-1.3,27,-91.301697,45.226677,-179.94435,-2.6590331,-20.609571,20.053083,-59.912891,18.693752
-1.2,27,-90.979073,45.066868,-179.3085,-2.6496372,-20.536745,19.982225,-59.701187,18.627697
-1.1,27,-90.656456,44.907055,-178.67267,-2.6402414,-20.463921,19.911366,-59.489479,18.56164
-1,27,-90.333832,44.747242,-178.03682,-2.6308455,-20.391094,19.840508,-59.277775,18.495584
-0.9,27,-90.011208,44.587433,-177.40097,-2.6214497,-20.31827,19.769648,-59.066067,18.429529
-0.8,27,-89.688591,44.42762,-176.76512,-2.6120539,-20.245443,19.69879,-58.854362,18.363474
-0.7,27,-89.365967,44.267811,-176.12929,-2.6026578,-20.172619,19.62793,-58.642654,18.297419
-0.6,27,-89.04335,44.107998,-175.49344,-2.593262,-20.099792,19.557072,-58.43095,18.231361
-0.5,27,-88.720726,43.948185,-174.85759,-2.5838661,-20.026968,19.486212,-58.219242,18.165306
-0.4,27,-88.398109,43.788376,-174.22174,-2.5744703,-19.954144,19.415354,-58.007538,18.099251
-0.3,27,-88.075485,43.628563,-173.58589,-2.5650744,-19.881317,19.344494,-57.79583,18.033195
-0.2,27,-87.752869,43.46875,-172.95006,-2.5556786,-19.808493,19.273636,-57.584122,17.96714
-0.1,27,-87.430244,43.308941,-172.31421,-2.5462825,-19.735666,19.202776,-57.372417,17.901085
0,27,-87.10762,43.149128,-171.67836,-2.5368867,-19.662842,19.131918,-57.160709,17.835028
0.1,27,-86.785004,42.989315,-171.04251,-2.5274909,-19.590015,19.061058,-56.949005,17.768972
0.2,27,-86.462379,42.829506,-170.40666,-2.518095,-19.517191,18.9902,-56.737297,17.702917
0.3,27,-86.139763,42.669693,-169.77083,-2.5086992,-19.444365,18.91934,-56.525593,17.636862
0.4,27,-85.817139,42.50988,-169.13498,-2.4993033,-19.37154,18.848482,-56.313885,17.570807
0.5,27,-85.494522,42.350071,-168.49913,-2.4899073,-19.298714,18.777622,-56.10218,17.504749
0.6,27,-85.171898,42.190258,-167.86328,-2.4805114,-19.225889,18.706764,-55.890472,17.438694
0.7,27,-84.849281,42.030445,-167.22743,-2.4711156,-19.153065,18.635904,-55.678768,17.372639
0.8,27,-84.526657,41.870636,-166.5916,-2.4617198,-19.080238,18.565046,-55.46706,17.306583
0.9,27,-84.204033,41.710823,-165.95575,-2.4523239,-19.007414,18.494186,-55.255352,17.240528
1,27,-83.881416,41.551014,-165.3199,-2.4429281,-18.934587,18.423328,-55.043648,17.174471
1.1,27,-83.558792,41.391201,-164.68405,-2.433532,-18.861763,18.352468,-54.83194,17.108416
1.2,27,-83.236176,41.231388,-164.04822,-2.4241362,-18.788937,18.28161,-54.620235,17.04236
1.3,27,-82.913551,41.071579,-163.41237,-2.4147403,-18.716112,18.210751,-54.408527,16.976305
1.4,27,-82.590935,40.911766,-162.77652,-2.4053445,-18.643286,18.139893,-54.196823,16.91025
1.5,27,-82.268311,40.751953,-162.14067,-2.3959486,-18.570461,18.069033,-53.985115,16.844193
1.6,27,-81.945686,40.592144,-161.50482,-2.3865528,-18.497635,17.998175,-53.773411,16.778137
1.7,27,-81.62307,40.432331,-160.86899,-2.3771567,-18.42481,17.927315,-53.561703,16.712082
1.8,27,-81.300446,40.272518,-160.23314,-2.3677609,-18.351986,17.856457,-53.349998,16.646027
1.9,27,-80.977829,40.112709,-159.59729,-2.3583651,-18.27916,17.785597,-53.13829,16.579971
2,27,-80.655205,39.952896,-158.96144,-2.3489692,-18.206335,17.714739,-52.926582,16.513916
2.1,27,-80.332588,39.793083,-158.32559,-2.3395734,-18.133509,17.643879,-52.714878,16.447859
2.2,27,-80.009964,39.633274,-157.68976,-2.3301775,-18.060684,17.573021,-52.50317,16.381804
2.3,27,-79.687347,39.473461,-157.05391,-2.3207815,-17.987858,17.502161,-52.291466,16.315748
2.4,27,-79.364723,39.313648,-156.41806,-2.3113856,-17.915033,17.431303,-52.079758,16.249693
2.5,27,-79.042099,39.153839,-155.78221,-2.3019898,-17.842207,17.360443,-51.868053,16.183638
2.6,27,-78.719482,38.994026,-155.14638,-2.292594,-17.769382,17.289585,-51.656345,16.11758
2.7,27,-78.396858,38.834213,-154.51053,-2.2831981,-17.696558,17.218725,-51.444641,16.051525
2.8,27,-78.074242,38.674404,-153.87468,-2.2738023,-17.623732,17.147867,-51.232933,15.98547
2.9,27,-77.751617,38.514591,-153.23883,-2.2644062,-17.550907,17.077007,-51.021225,15.919415
3,27,-77.429001,38.354782,-152.60298,-2.2550104,-17.478081,17.006149,-50.809521,15.853358
3.1,27,-77.106377,38.194969,-151.96715,-2.2456145,-17.405256,16.935289,-50.597816,15.787303
3.2,27,-76.78376,38.035156,-151.3313,-2.2362187,-17.33243,16.864431,-50.386108,15.721247
3.3,27,-76.461136,37.875347,-150.69545,-2.2268229,-17.259605,16.793571,-50.1744,15.655191
3.4,27,-76.138512,37.715534,-150.0596,-2.217427,-17.186779,16.722713,-49.962696,15.589136
3.5,27,-75.815895,37.555721,-149.42375,-2.2080309,-17.113955,16.651854,-49.750988,15.52308
3.6,27,-75.493271,37.395912,-148.78792,-2.1986351,-17.04113,16.580996,-49.539284,15.457025
3.7,27,-75.170654,37.236099,-148.15207,-2.1892393,-16.968304,16.510136,-49.327576,15.390969
3.8,27,-74.84803,37.076286,-147.51622,-2.1798434,-16.895479,16.439278,-49.115871,15.324913
3.9,27,-74.525414,36.916477,-146.88037,-2.1704476,-16.822653,16.368418,-48.904163,15.258858
4,27,-74.202789,36.756664,-146.24452,-2.1610518,-16.749828,16.29756,-48.692459,15.192801
4.1,27,-73.880173,36.596851,-145.60869,-2.1516559,-16.677002,16.2267,-48.480751,15.126746
4.2,27,-73.557549,36.437042,-144.97284,-2.1422598,-16.604177,16.155842,-48.269047,15.060691
4.3,27,-73.234924,36.277229,-144.33699,-2.132864,-16.531351,16.084982,-48.057339,14.994635
4.4,27,-72.912308,36.117416,-143.70114,-2.1234682,-16.458527,16.014124,-47.845631,14.928579
4.5,27,-72.589684,35.957607,-143.06531,-2.1140723,-16.3857,15.943265,-47.633926,14.862524
4.6,27,-72.267067,35.797794,-142.42946,-2.1046765,-16.312876,15.872406,-47.422218,14.796468
4.7,27,-71.944443,35.637985,-141.79361,-2.0952806,-16.240051,15.801547,-47.210514,14.730412
4.8,27,-71.621826,35.478172,-141.15776,-2.0858846,-16.167225,15.730688,-46.998806,14.664356
4.9,27,-71.299202,35.318359,-140.52191,-2.0764887,-16.0944,15.659829,-46.787102,14.598301
5,27,-70.976585,35.15855,-139.88608,-2.0670929,-16.021574,15.58897,-46.575394,14.532246
5.1,27,-70.653961,34.998737,-139.25023,-2.0576971,-15.948749,15.518111,-46.363689,14.466189
5.2,27,-70.331345,34.838924,-138.61438,-2.0483012,-15.875924,15.447252,-46.151981,14.400134
5.3,27,-70.00872,34.679115,-137.97853,-2.0389051,-15.803098,15.376393,-45.940273,14.334078
5.4,27,-69.686096,34.519302,-137.34268,-2.0295093,-15.730273,15.305534,-45.728569,14.268023
5.5,27,-69.36348,34.359489,-136.70685,-2.0201135,-15.657448,15.234675,-45.516861,14.201967
5.6,27,-69.040855,34.19968,-136.071,-2.0107176,-15.584622,15.163816,-45.305157,14.135911
5.7,27,-68.718239,34.039867,-135.43515,-2.0013218,-15.511797,15.092957,-45.093449,14.069856
5.8,27,-68.395615,33.880054,-134.7993,-1.9919258,-15.438972,15.022099,-44.881744,14.003799
5.9,27,-68.072998,33.720245,-134.16345,-1.98253,-15.366146,14.95124,-44.670036,13.937744
