temp,ref,yhat_comm,se_comm,lomacoerci_comm,upperci_comm,yhat_lomaco,se_lomaco,lomacoerci_lomaco,upperci_lomaco,yhat_low,se_low,lowerci_low,upperci_low
-5.4,27,-12.975337,7.9341774,-28.526039,2.5753651,-2.1333308,7.4774089,-16.788782,12.522121,-1.7352729,9.2774868,-19.918812,16.448267
-5.3,27,-12.935289,7.9096889,-28.437996,2.5674164,-2.1267464,7.4543304,-16.736965,12.483473,-1.7299172,9.2488527,-19.857334,16.397501
-5.2,27,-12.895242,7.885201,-28.349951,2.5594678,-2.120162,7.431252,-16.685148,12.444824,-1.7245613,9.2202177,-19.795856,16.346735
-5.1,27,-12.855194,7.8607125,-28.261908,2.5515192,-2.1135776,7.4081736,-16.633331,12.406176,-1.7192056,9.1915836,-19.734379,16.295967
-5,27,-12.815147,7.8362246,-28.173864,2.5435705,-2.1069934,7.3850951,-16.581514,12.367527,-1.7138498,9.1629496,-19.672901,16.245201
-4.9,27,-12.7751,7.8117361,-28.085821,2.5356219,-2.100409,7.3620167,-16.529697,12.328879,-1.7084941,9.1343155,-19.611423,16.194435
-4.8,27,-12.735053,7.7872481,-27.997778,2.5276732,-2.0938246,7.3389382,-16.47788,12.290231,-1.7031382,9.1056814,-19.549946,16.143669
-4.7,27,-12.695005,7.7627597,-27.909735,2.5197246,-2.0872402,7.3158598,-16.426062,12.251582,-1.6977824,9.0770473,-19.488468,16.092903
-4.6,27,-12.654958,7.7382717,-27.821692,2.511776,-2.0806558,7.2927814,-16.374245,12.212934,-1.6924267,9.0484133,-19.426991,16.042137
-4.5,27,-12.61491,7.7137833,-27.733648,2.5038273,-2.0740716,7.2697029,-16.322428,12.174285,-1.6870708,9.0197783,-19.365513,15.99137
-4.4,27,-12.574863,7.6892953,-27.645605,2.4958785,-2.0674872,7.2466249,-16.270611,12.135636,-1.6817151,8.9911442,-19.304035,15.940604
-4.3,27,-12.534816,7.6648073,-27.557562,2.4879298,-2.0609028,7.2235465,-16.218794,12.096988,-1.6763593,8.9625101,-19.242558,15.889838
-4.2,27,-12.494768,7.6403189,-27.469519,2.4799812,-2.0543184,7.2004676,-16.166977,12.058339,-1.6710036,8.933876,-19.181078,15.839071
-4.1,27,-12.454721,7.6158304,-27.381475,2.4720325,-2.0477343,7.1773896,-16.115158,12.019691,-1.6656477,8.905242,-19.1196,15.788305
-4,27,-12.414674,7.5913424,-27.293432,2.4640839,-2.0411499,7.1543112,-16.063341,11.981042,-1.660292,8.8766079,-19.058123,15.737539
-3.9,27,-12.374626,7.5668545,-27.205389,2.4561353,-2.0345654,7.1312327,-16.011524,11.942393,-1.6549362,8.8479738,-18.996645,15.686773
-3.8,27,-12.334579,7.542366,-27.117346,2.4481866,-2.027981,7.1081543,-15.959707,11.903745,-1.6495805,8.8193388,-18.935167,15.636006
-3.7,27,-12.294532,7.5178781,-27.029303,2.440238,-2.0213966,7.0850759,-15.90789,11.865097,-1.6442246,8.7907047,-18.87369,15.58524
-3.6,27,-12.254484,7.4933896,-26.941257,2.4322894,-2.0148125,7.0619974,-15.856072,11.826448,-1.6388689,8.7620707,-18.812212,15.534474
-3.5,27,-12.214437,7.4689016,-26.853214,2.4243407,-2.0082281,7.038919,-15.804255,11.7878,-1.6335131,8.7334366,-18.750734,15.483708
-3.4,27,-12.17439,7.4444132,-26.765171,2.4163921,-2.0016437,7.0158405,-15.752439,11.749151,-1.6281574,8.7048025,-18.689257,15.432941
-3.3,27,-12.134342,7.4199252,-26.677128,2.4084432,-1.9950594,6.9927621,-15.700621,11.710503,-1.6228015,8.6761684,-18.627779,15.382175
-3.2,27,-12.094296,7.3954368,-26.589085,2.4004946,-1.988475,6.9696836,-15.648804,11.671854,-1.6174457,8.6475334,-18.566301,15.331409
-3.1,27,-12.054248,7.3709488,-26.501041,2.3925459,-1.9818906,6.9466052,-15.596987,11.633205,-1.61209,8.6188993,-18.504824,15.280643
-3,27,-12.0142,7.3464603,-26.412998,2.3845973,-1.9753063,6.9235268,-15.54517,11.594557,-1.6067342,8.5902653,-18.443344,15.229877
-2.9,27,-11.974154,7.3219724,-26.324955,2.3766487,-1.9687219,6.9004483,-15.493352,11.555908,-1.6013784,8.5616312,-18.381866,15.179111
-2.8,27,-11.934106,7.2974839,-26.236912,2.3687,-1.9621376,6.8773699,-15.441535,11.51726,-1.5960226,8.5329971,-18.320389,15.128345
-2.7,27,-11.894058,7.2729959,-26.148869,2.3607514,-1.9555532,6.8542914,-15.389718,11.478611,-1.5906669,8.5043631,-18.258911,15.077578
