temp,ref,yhat_comm,se_comm,lowerci_comm,upperci_comm,tmax_rcspl_3kn_t0,tmax_rcspl_3kn_t1,yhat_low,se_low,lowerci_low,upperci_low,yhat_high,se_high,lowerci_high,upperci_high,yhat_marg,se_marg,lowerci_marg,upperci_marg
-8.800000000000001,27,-14.336946,8.7667761,-31.519512,2.8456194,-8.8000002,0,-2.3571987,8.2620754,-18.55057,13.836171,-115.49826,57.212547,-227.6328,-3.363724,-113.14106,57.800385,-226.42773,.14561526
-8.699999999999999,27,-14.296899,8.7422876,-31.431467,2.8376708,-8.6999998,0,-2.3506145,8.2389965,-18.498751,13.797523,-115.17564,57.052734,-226.99695,-3.3543279,-112.82502,57.638931,-225.79524,.14520851
-8.6,27,-14.256851,8.7178001,-31.343426,2.8297222,-8.6000004,0,-2.3440301,8.2159185,-18.446934,13.758874,-114.85301,56.892925,-226.3611,-3.3449321,-112.50899,57.477478,-225.16278,.14480177
-8.5,27,-14.216804,8.6933117,-31.255381,2.8217735,-8.5,0,-2.3374457,8.1928396,-18.395117,13.720225,-114.5304,56.733112,-225.72525,-3.3355362,-112.19295,57.316025,-224.53029,.14439502
-8.4,27,-14.176757,8.6688232,-31.167337,2.8138249,-8.3999996,0,-2.3308613,8.1697617,-18.3433,13.681577,-114.20777,56.573299,-225.0894,-3.3261404,-111.87691,57.154572,-223.89781,.14398827
-8.300000000000001,27,-14.136709,8.6443348,-31.079294,2.8058763,-8.3000002,0,-2.3242772,8.1466837,-18.291483,13.642929,-113.88515,56.41349,-224.45357,-3.3167446,-111.56087,56.993118,-223.26534,.14358152
-8.199999999999999,27,-14.096662,8.6198473,-30.991251,2.7979276,-8.1999998,0,-2.3176928,8.1236048,-18.239666,13.60428,-113.56253,56.253677,-223.81772,-3.3073487,-111.24483,56.831661,-222.63286,.14317478
-8.1,27,-14.056615,8.5953588,-30.903208,2.789979,-8.1000004,0,-2.3111084,8.1005268,-18.187849,13.565632,-113.23991,56.093868,-223.18187,-3.2979529,-110.9288,56.670212,-222.00038,.14276804
-8,27,-14.016567,8.5708704,-30.815165,2.7820303,-8,0,-2.3045239,8.0774479,-18.13603,13.526983,-112.91729,55.934055,-222.54602,-3.2885568,-110.61276,56.508755,-221.36789,.14236128
-7.9,27,-13.97652,8.546382,-30.727121,2.7740817,-7.9000001,0,-2.2979395,8.0543699,-18.084213,13.488335,-112.59467,55.774242,-221.91017,-3.279161,-110.29673,56.347301,-220.73541,.14195454
-7.8,27,-13.936473,8.5218945,-30.639078,2.7661328,-7.8000002,0,-2.2913554,8.031291,-18.032396,13.449686,-112.27205,55.614433,-221.27434,-3.2697651,-109.98069,56.185848,-220.10294,.1415478
