variable,batch,rcp,gcm,model,year,ssp,global_damages_constant_model_collapsed,anomaly
damages,batch5,rcp45,ACCESS1-0,IIASA GDP,2024,SSP3,-75.43204563630664,0.5079278349876404
damages,batch5,rcp45,ACCESS1-0,OECD Env-Growth,2024,SSP3,-75.676097427811,0.5079278349876404
damages,batch6,rcp45,ACCESS1-0,IIASA GDP,2024,SSP3,-74.89207221651078,0.5079278349876404
damages,batch6,rcp45,ACCESS1-0,OECD Env-Growth,2024,SSP3,-75.19496832374806,0.5079278349876404
damages,batch7,rcp45,ACCESS1-0,IIASA GDP,2024,SSP3,-75.39942391260158,0.5079278349876404
damages,batch7,rcp45,ACCESS1-0,OECD Env-Growth,2024,SSP3,-75.6737555110494,0.5079278349876404
damages,batch8,rcp45,ACCESS1-0,IIASA GDP,2024,SSP3,-75.67675656196847,0.5079278349876404
damages,batch8,rcp45,ACCESS1-0,OECD Env-Growth,2024,SSP3,-75.97519140462192,0.5079278349876404
damages,batch9,rcp45,ACCESS1-0,IIASA GDP,2024,SSP3,-75.51265228492068,0.5079278349876404
damages,batch9,rcp45,ACCESS1-0,OECD Env-Growth,2024,SSP3,-75.83734505395901,0.5079278349876404
damages,batch0,rcp45,ACCESS1-0,IIASA GDP,2025,SSP3,-80.52634493325326,0.5330224633216858
damages,batch0,rcp45,ACCESS1-0,OECD Env-Growth,2025,SSP3,-82.29355811238617,0.5330224633216858
damages,batch1,rcp45,ACCESS1-0,IIASA GDP,2025,SSP3,-80.35857008111424,0.5330224633216858
damages,batch1,rcp45,ACCESS1-0,OECD Env-Growth,2025,SSP3,-82.19871046611996,0.5330224633216858
damages,batch10,rcp45,ACCESS1-0,IIASA GDP,2025,SSP3,-80.4846402004259,0.5330224633216858
damages,batch10,rcp45,ACCESS1-0,OECD Env-Growth,2025,SSP3,-82.22273824052762,0.5330224633216858
damages,batch11,rcp45,ACCESS1-0,IIASA GDP,2025,SSP3,-80.31510011509087,0.5330224633216858
damages,batch11,rcp45,ACCESS1-0,OECD Env-Growth,2025,SSP3,-82.05628531311118,0.5330224633216858
damages,batch12,rcp45,ACCESS1-0,IIASA GDP,2025,SSP3,-80.81542946635417,0.5330224633216858
damages,batch12,rcp45,ACCESS1-0,OECD Env-Growth,2025,SSP3,-82.57279192817093,0.5330224633216858
damages,batch13,rcp45,ACCESS1-0,IIASA GDP,2025,SSP3,-81.43307268112564,0.5330224633216858
damages,batch13,rcp45,ACCESS1-0,OECD Env-Growth,2025,SSP3,-83.13236743929346,0.5330224633216858
damages,batch14,rcp45,ACCESS1-0,IIASA GDP,2025,SSP3,-79.59004355449484,0.5330224633216858
damages,batch14,rcp45,ACCESS1-0,OECD Env-Growth,2025,SSP3,-81.39226397353492,0.5330224633216858
damages,batch2,rcp45,ACCESS1-0,IIASA GDP,2025,SSP3,-80.85496736801308,0.5330224633216858
damages,batch2,rcp45,ACCESS1-0,OECD Env-Growth,2025,SSP3,-82.5940180094036,0.5330224633216858
damages,batch3,rcp45,ACCESS1-0,IIASA GDP,2025,SSP3,-79.7174434837015,0.5330224633216858
damages,batch3,rcp45,ACCESS1-0,OECD Env-Growth,2025,SSP3,-81.41684724681015,0.5330224633216858
damages,batch4,rcp45,ACCESS1-0,IIASA GDP,2025,SSP3,-80.21965234580657,0.5330224633216858
damages,batch4,rcp45,ACCESS1-0,OECD Env-Growth,2025,SSP3,-81.95742963438991,0.5330224633216858
damages,batch5,rcp45,ACCESS1-0,IIASA GDP,2025,SSP3,-79.42011501520115,0.5330224633216858
damages,batch5,rcp45,ACCESS1-0,OECD Env-Growth,2025,SSP3,-81.18110120662269,0.5330224633216858
damages,batch6,rcp45,ACCESS1-0,IIASA GDP,2025,SSP3,-79.56431096521244,0.5330224633216858
damages,batch6,rcp45,ACCESS1-0,OECD Env-Growth,2025,SSP3,-81.27411456752468,0.5330224633216858
damages,batch7,rcp45,ACCESS1-0,IIASA GDP,2025,SSP3,-80.6335720191563,0.5330224633216858
damages,batch7,rcp45,ACCESS1-0,OECD Env-Growth,2025,SSP3,-82.4070586259239,0.5330224633216858
damages,batch8,rcp45,ACCESS1-0,IIASA GDP,2025,SSP3,-80.58181820419115,0.5330224633216858
damages,batch8,rcp45,ACCESS1-0,OECD Env-Growth,2025,SSP3,-82.32161057828534,0.5330224633216858
damages,batch9,rcp45,ACCESS1-0,IIASA GDP,2025,SSP3,-80.05258814739764,0.5330224633216858
damages,batch9,rcp45,ACCESS1-0,OECD Env-Growth,2025,SSP3,-81.84534294407099,0.5330224633216858
damages,batch0,rcp45,ACCESS1-0,IIASA GDP,2026,SSP3,-72.0471788709342,0.5601922869682312
damages,batch0,rcp45,ACCESS1-0,OECD Env-Growth,2026,SSP3,-71.17737826159743,0.5601922869682312
damages,batch1,rcp45,ACCESS1-0,IIASA GDP,2026,SSP3,-72.23656414833822,0.5601922869682312
damages,batch1,rcp45,ACCESS1-0,OECD Env-Growth,2026,SSP3,-71.30920517317135,0.5601922869682312
damages,batch10,rcp45,ACCESS1-0,IIASA GDP,2026,SSP3,-72.27014884843403,0.5601922869682312
damages,batch10,rcp45,ACCESS1-0,OECD Env-Growth,2026,SSP3,-71.3345122547966,0.5601922869682312
