temp,tercile,ref,lrt_eval,yhat,se,lower_ci,upper_ci
-12.9,3,27,31.24262809753418,-168.68774,49.689796,-266.07794,-71.297539
-12.8,3,27,31.24262809753418,-168.26497,49.565258,-265.4111,-71.118851
-12.7,3,27,31.24262809753418,-167.84219,49.440723,-264.74423,-70.940155
-12.6,3,27,31.24262809753418,-167.41942,49.316189,-264.07736,-70.761467
-12.5,3,27,31.24262809753418,-166.99664,49.19165,-263.41052,-70.582779
-12.4,3,27,31.24262809753418,-166.57387,49.067116,-262.74365,-70.404083
-12.3,3,27,31.24262809753418,-166.15109,48.942581,-262.07678,-70.225395
-12.2,3,27,31.24262809753418,-165.72832,48.818043,-261.40991,-70.046707
-12.1,3,27,31.24262809753418,-165.30554,48.693508,-260.74307,-69.868011
-12,3,27,31.24262809753418,-164.88277,48.568974,-260.0762,-69.689323
-11.9,3,27,31.24262809753418,-164.45998,48.444435,-259.40933,-69.510635
-11.8,3,27,31.24262809753418,-164.03722,48.319901,-258.74246,-69.33194
-11.7,3,27,31.24262809753418,-163.61443,48.195366,-258.07562,-69.153252
-11.6,3,27,31.24262809753418,-163.19165,48.070831,-257.40875,-68.974564
-11.5,3,27,31.24262809753418,-162.76888,47.946293,-256.74188,-68.795868
-11.4,3,27,31.24262809753418,-162.3461,47.821758,-256.07501,-68.61718
-11.3,3,27,31.24262809753418,-161.92332,47.697224,-255.40817,-68.438492
-11.2,3,27,31.24262809753418,-161.50055,47.572685,-254.7413,-68.259796
-11.1,3,27,31.24262809753418,-161.07777,47.448151,-254.07445,-68.081108
-11,3,27,31.24262809753418,-160.655,47.323616,-253.40758,-67.90242
-10.9,3,27,31.24262809753418,-160.23222,47.199078,-252.74071,-67.723724
-10.8,3,27,31.24262809753418,-159.80945,47.074543,-252.07385,-67.545036
-10.7,3,27,31.24262809753418,-159.38667,46.950008,-251.407,-67.366348
-10.6,3,27,31.24262809753418,-158.9639,46.82547,-250.74013,-67.18766
-10.5,3,27,31.24262809753418,-158.54112,46.700935,-250.07327,-67.008965
-10.4,3,27,31.24262809753418,-158.11833,46.576401,-249.4064,-66.830276
-10.3,3,27,31.24262809753418,-157.69557,46.451862,-248.73955,-66.651581
-10.2,3,27,31.24262809753418,-157.27278,46.327328,-248.07268,-66.472893
-10.1,3,27,31.24262809753418,-156.85001,46.202793,-247.40582,-66.294205
-10,3,27,31.24262809753418,-156.42723,46.078255,-246.73895,-66.115509
-9.9,3,27,31.24262809753418,-156.00446,45.95372,-246.0721,-65.936821
-9.800000000000001,3,27,31.24262809753418,-155.58168,45.829185,-245.40523,-65.758133
-9.699999999999999,3,27,31.24262809753418,-155.15891,45.704647,-244.73837,-65.579437
-9.6,3,27,31.24262809753418,-154.73613,45.580112,-244.07152,-65.400749
-9.5,3,27,31.24262809753418,-154.31335,45.455578,-243.40465,-65.222061
-9.4,3,27,31.24262809753418,-153.89058,45.331039,-242.73778,-65.043365
-9.300000000000001,3,27,31.24262809753418,-153.4678,45.206505,-242.07092,-64.864677
-9.199999999999999,3,27,31.24262809753418,-153.04503,45.08197,-241.40405,-64.685989
-9.1,3,27,31.24262809753418,-152.62225,44.957436,-240.7372,-64.507301
-9,3,27,31.24262809753418,-152.19948,44.832897,-240.07034,-64.328606
-8.9,3,27,31.24262809753418,-151.77669,44.708363,-239.40347,-64.149918
-8.800000000000001,3,27,31.24262809753418,-151.35393,44.583828,-238.73662,-63.971226
-8.699999999999999,3,27,31.24262809753418,-150.93114,44.45929,-238.06975,-63.792534
-8.6,3,27,31.24262809753418,-150.50836,44.334755,-237.40289,-63.613846
-8.5,3,27,31.24262809753418,-150.08559,44.21022,-236.73602,-63.435154
-8.4,3,27,31.24262809753418,-149.66281,44.085682,-236.06917,-63.256462
-8.300000000000001,3,27,31.24262809753418,-149.24004,43.961147,-235.4023,-63.077774
-8.199999999999999,3,27,31.24262809753418,-148.81726,43.836613,-234.73544,-62.899082
-8.1,3,27,31.24262809753418,-148.39449,43.712074,-234.06859,-62.720394
-8,3,27,31.24262809753418,-147.97171,43.58754,-233.40172,-62.541702
-7.9,3,27,31.24262809753418,-147.54893,43.463005,-232.73485,-62.36301
-7.8,3,27,31.24262809753418,-147.12616,43.338467,-232.06799,-62.184319
-7.7,3,27,31.24262809753418,-146.70338,43.213932,-231.40112,-62.00563
-7.6,3,27,31.24262809753418,-146.28061,43.089397,-230.73427,-61.826939
-7.5,3,27,31.24262809753418,-145.85783,42.964859,-230.06741,-61.648247
-7.4,3,27,31.24262809753418,-145.43506,42.840324,-229.40054,-61.469559
-7.3,3,27,31.24262809753418,-145.01227,42.71579,-228.73369,-61.290867
-7.2,3,27,31.24262809753418,-144.58949,42.591251,-228.06682,-61.112175
-7.1,3,27,31.24262809753418,-144.16672,42.466717,-227.39996,-60.933487
-7,3,27,31.24262809753418,-143.74394,42.342182,-226.73309,-60.754795
-6.9,3,27,31.24262809753418,-143.32117,42.217648,-226.06624,-60.576103
-6.8,3,27,31.24262809753418,-142.89839,42.093109,-225.39937,-60.397415
-6.7,3,27,31.24262809753418,-142.47562,41.968575,-224.73251,-60.218723
-6.6,3,27,31.24262809753418,-142.05284,41.844036,-224.06564,-60.040031
-6.5,3,27,31.24262809753418,-141.63007,41.719501,-223.39879,-59.861343
-6.4,3,27,31.24262809753418,-141.20729,41.594967,-222.73192,-59.682652
-6.3,3,27,31.24262809753418,-140.78452,41.470432,-222.06506,-59.503963
-6.2,3,27,31.24262809753418,-140.36174,41.345894,-221.39819,-59.325272
-6.1,3,27,31.24262809753418,-139.93896,41.221359,-220.73134,-59.14658
-6,3,27,31.24262809753418,-139.51619,41.096825,-220.06447,-58.967888
-5.9,3,27,31.24262809753418,-139.09341,40.972286,-219.39761,-58.7892
-5.8,3,27,31.24262809753418,-138.67062,40.847752,-218.73076,-58.610508
-5.7,3,27,31.24262809753418,-138.24785,40.723217,-218.06389,-58.431816
-5.6,3,27,31.24262809753418,-137.82507,40.598679,-217.39703,-58.253128
-5.5,3,27,31.24262809753418,-137.4023,40.474144,-216.73016,-58.074436
-5.4,3,27,31.24262809753418,-136.97952,40.349609,-216.06331,-57.895744
