year,placeholder,growth_rate,cons,beta1,beta2,anomalymin,anomalymax,ssp,global_consumption,ratio
2247,"ss","value",0,.0689159,.2680786,0,11,"SSP3",6.678e+14,1.937199
2248,"ss","value",0,.0692245,.269279,0,11,"SSP3",6.708e+14,1.945874
2249,"ss","value",0,.0695345,.2704848,0,11,"SSP3",6.738e+14,1.954587
2250,"ss","value",0,.0698459,.271696,0,11,"SSP3",6.768e+14,1.96334
2251,"ss","value",0,.0701586,.2729126,0,11,"SSP3",6.798e+14,1.972131
2252,"ss","value",0,.0704728,.2741347,0,11,"SSP3",6.829e+14,1.980962
2253,"ss","value",0,.0707884,.2753622,0,11,"SSP3",6.859e+14,1.989833
2254,"ss","value",0,.0711053,.2765952,0,11,"SSP3",6.890e+14,1.998743
2255,"ss","value",0,.0714237,.2778338,0,11,"SSP3",6.921e+14,2.007693
2256,"ss","value",0,.0717436,.2790779,0,11,"SSP3",6.952e+14,2.016683
2257,"ss","value",0,.0720648,.2803275,0,11,"SSP3",6.983e+14,2.025713
2258,"ss","value",0,.0723875,.2815828,0,11,"SSP3",7.014e+14,2.034784
2259,"ss","value",0,.0727116,.2828437,0,11,"SSP3",7.046e+14,2.043895
2260,"ss","value",0,.0730372,.2841102,0,11,"SSP3",7.077e+14,2.053048
2261,"ss","value",0,.0733643,.2853824,0,11,"SSP3",7.109e+14,2.062241
2262,"ss","value",0,.0736928,.2866603,0,11,"SSP3",7.141e+14,2.071475
2263,"ss","value",0,.0740228,.2879439,0,11,"SSP3",7.173e+14,2.080751
2264,"ss","value",0,.0743542,.2892333,0,11,"SSP3",7.205e+14,2.090068
2265,"ss","value",0,.0746872,.2905284,0,11,"SSP3",7.237e+14,2.099427
2266,"ss","value",0,.0750216,.2918294,0,11,"SSP3",7.269e+14,2.108829
2267,"ss","value",0,.0753576,.2931362,0,11,"SSP3",7.302e+14,2.118272
2268,"ss","value",0,.075695,.2944488,0,11,"SSP3",7.335e+14,2.127757
2269,"ss","value",0,.076034,.2957672,0,11,"SSP3",7.368e+14,2.137284
2270,"ss","value",0,.0763744,.2970916,0,11,"SSP3",7.401e+14,2.146854
2271,"ss","value",0,.0767164,.2984219,0,11,"SSP3",7.434e+14,2.156468
2272,"ss","value",0,.0770599,.2997583,0,11,"SSP3",7.467e+14,2.166124
2273,"ss","value",0,.077405,.3011006,0,11,"SSP3",7.500e+14,2.175824
2274,"ss","value",0,.0777516,.3024488,0,11,"SSP3",7.534e+14,2.185567
2275,"ss","value",0,.0780998,.3038031,0,11,"SSP3",7.568e+14,2.195354
2276,"ss","value",0,.0784495,.3051635,0,11,"SSP3",7.602e+14,2.205184
